ID,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Income_type,Education_type,Family_status,Housing_type,Occupation_type,Target
5008804,1,1,1,1,0,0,0,0,2,15,427500.0,32.86857361889700,12.435573625741800,Working,Higher education,Civil marriage,Rented apartment,Other,1
5008806,1,1,1,0,0,0,0,0,2,29,112500.0,58.79381506807120,3.1047865459249700,Working,Secondary / secondary special,Married,House / apartment,Security staff,0
5008808,0,0,1,0,1,1,0,0,1,4,270000.0,52.32140290355040,8.353354278321940,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,0
5008812,0,0,1,0,0,0,1,0,1,20,283500.0,61.504343004989800,0.0,Pensioner,Higher education,Separated,House / apartment,Other,0
5008815,1,1,1,1,1,1,0,0,2,5,270000.0,46.1939670219101,2.1054504883741600,Working,Higher education,Married,House / apartment,Accountants,0
5008819,1,1,1,0,0,0,0,0,2,17,135000.0,48.67451077024170,3.269060966344280,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,0
5008825,0,1,0,0,0,0,0,0,2,25,130500.0,29.210729857560400,3.019911428708320,Working,Incomplete higher,Married,House / apartment,Accountants,1
5008830,0,0,1,0,1,0,0,0,2,31,157500.0,27.463945187101700,4.021985393266120,Working,Secondary / secondary special,Married,House / apartment,Laborers,1
5008834,0,0,1,0,0,0,0,1,2,44,112500.0,30.02936405265000,4.435409351321380,Working,Secondary / secondary special,Single / not married,House / apartment,Other,0
5008836,1,1,1,0,0,0,0,3,5,24,270000.0,34.74130201167720,3.1841858491276300,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008838,1,0,1,0,0,0,0,1,3,39,405000.0,32.42229477675790,5.519620526088830,Commercial associate,Higher education,Married,House / apartment,Managers,0
5008844,1,1,1,0,1,0,0,0,2,43,112500.0,56.132569457278400,12.183686181098900,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,0
5008854,0,1,1,0,0,0,0,2,4,39,135000.0,43.15215233714590,8.687378933174530,Working,Secondary / secondary special,Married,House / apartment,Laborers,0
5008868,0,0,1,0,0,0,0,1,3,24,211500.0,44.38694839729770,19.436401842611400,State servant,Secondary / secondary special,Civil marriage,House / apartment,Core staff,0
5008872,1,1,1,0,1,0,0,0,2,10,360000.0,45.64090980649840,14.686133185486400,Commercial associate,Secondary / secondary special,Married,House / apartment,Security staff,1
5008873,0,0,1,0,0,1,0,2,4,21,126000.0,33.98016386373440,4.854309123390620,Commercial associate,Higher education,Married,House / apartment,Managers,0
5008884,0,0,1,0,0,0,1,0,1,40,315000.0,55.26739084307000,0.0,Pensioner,Secondary / secondary special,Widow,House / apartment,Other,0
